
AB854326.1;2012
AF481906.1;1998
AY210886.1;1998
CP010881.1;2012
DQ523564.1;2005
DQ897687.1;2004
DQ989639.1;2002
EF062508.1;2006
EU176011.1;2005
EU176012.1;2005
EU176013.1;2006
EU176014.1;2005
FJ223605.1;2005
FJ223606.1;2005
FJ223607.1;2005
FJ628167.2;2006
FJ853623.1;2009
GU595196.1;2006
HG969995.1;2011
HG969996.1;2011
HG969997.1;2011
HG969998.1;2011
HG969999.1;2008
HQ651092.1;2009
JF922884.1;2008
JN545009.1;2006
JQ837276.1;2010
JX104759.1;2011
JX430448.1;2010
JX461340.1;2009
JX500680.1;2001
JX500681.1;2001
KC405622.1;2012
KC788405.1;2012
KC845573.1;2005
KF874496.1;2008
KF874497.1;2009
KF874498.1;2009
KF874499.1;2011
KF954759.1;2010
KF954760.1;2010
KJ146687.1;2010
KJ146688.1;2010
KJ146689.1;2009
KM983022.1;2012
KP345882.1;2011
KP868646.1;2014
KP987215.1;2013
KP987218.1;2010
KT148595.1;2013
KU302800.1;2012
KU578314.1;2013
KY271403.1;2014
LT009688.1;2011
LT009689.1;2011
MF383354.1;2015
